Q#,Level,Company,Category,Original Question,Step,Quiz Question,Option A,Option B,Option C,Option D,Correct,Feedback (Why)
1,Junior,Spotify,Product Design,How would you improve Spotify's Discover Weekly playlist?,Clarify,What should you clarify before proposing improvements to Discover Weekly?,What font and color scheme does the Discover Weekly playlist use in the current UI design?,"What programming language powers Spotify's recommendation engine, and how many servers does it run on?",How many employees work on the Discover Weekly team and what is their annual budget allocation?,"What specific metric is underperforming — skip rate, save rate, or playlist completion? And which user segments are most affected?",D,Clarifying which metric is failing and for whom prevents you from solving the wrong problem. A high skip rate needs a different fix than low playlist saves.
1,Junior,Spotify,Product Design,How would you improve Spotify's Discover Weekly playlist?,Users,Which user segment should you prioritize for Discover Weekly improvements?,Users who exclusively listen to podcasts and have never played a single music track on the Spotify platform,New users who signed up in the last 7 days and haven't built enough listening history for accurate recommendations yet,Passive listeners who play Discover Weekly but rarely save or skip — they engage but we can't tell if they're satisfied or indifferent,Power users who already curate 50+ playlists and actively manage their library — they're the most vocal and engaged segment on the platform,C,Passive listeners are the largest Discover Weekly audience and the hardest to read. Improving their experience has the biggest impact on overall playlist metrics.
1,Junior,Spotify,Product Design,How would you improve Spotify's Discover Weekly playlist?,Pain Points,What is the most common pain point with algorithmic playlists like Discover Weekly?,"The playlist thumbnail image doesn't change frequently enough, making users scroll past it because it looks the same as last week visually","Discover Weekly is only refreshed once per week on Mondays, and some users forget to listen before it resets the following week","The playlist has exactly 30 songs, which some users find too many while others find too few for their weekly listening habits","Recommendation staleness — the playlist suggests songs too similar to what the user already listens to, creating a filter bubble with no surprises",D,Staleness is the #1 complaint about algorithmic playlists. Users want discovery — songs they wouldn't have found themselves — not more of what they already know.
1,Junior,Spotify,Product Design,How would you improve Spotify's Discover Weekly playlist?,Solutions,Which solution best addresses recommendation staleness?,Replace the entire algorithm with a purely random song selection from Spotify's full 100M+ track catalog to maximize the chance of unexpected discoveries,Let users manually pick the exact genres and decades they want to hear each week through a detailed preference form with 20+ filter options,"Blend familiar genres with intentional 'stretch' picks from adjacent genres the user hasn't explored — controlled diversity that feels like discovery, not randomness",Show only songs from the user's top 3 most-listened artists to ensure every recommendation is something they'll definitely enjoy and never skip,C,"Controlled diversity balances familiarity (user feels safe) with novelty (user discovers new things). Pure randomness feels chaotic, and pure familiarity defeats the purpose of discovery."
1,Junior,Spotify,Product Design,How would you improve Spotify's Discover Weekly playlist?,Prioritize,Why should you prioritize recommendation diversity over UI changes to Discover Weekly?,"UI changes are technically more complex and require coordination with multiple design teams across Spotify's global organization, making them slower to ship",Spotify's design team is currently fully allocated to other priority projects and won't have bandwidth for Discover Weekly UI changes until next quarter,Recommendation algorithm changes require expensive GPU compute resources that significantly increase Spotify's infrastructure costs per user per month,"Recommendation quality is the core value — if the songs are right, users engage regardless of UI. If songs are wrong, no UI polish can save the experience",D,The product's value IS the recommendations. Users don't open Discover Weekly for the UI — they open it for the music. Improving the core value proposition has 10x the impact of cosmetic changes.
1,Junior,Spotify,Product Design,How would you improve Spotify's Discover Weekly playlist?,Metrics,How would you measure whether the improvement to Discover Weekly is working?,Monitor the total number of Spotify app downloads in the weeks following the algorithm update to see if more people are joining the platform,Track the average bitrate quality at which users stream Discover Weekly songs to see if they're listening on higher quality audio settings,Count the number of social media posts mentioning Discover Weekly to gauge whether public sentiment has improved after the changes,"Track save rate (songs saved to library), skip rate (songs skipped within 30 seconds), and playlist completion rate (% of users who listen to more than half)",D,Save rate measures whether users found keepers. Skip rate measures whether recommendations missed the mark. Completion rate measures overall playlist satisfaction.
2,Junior,Spotify,Product Design,Design a feature to help users find live concerts for artists they listen to.,Clarify,What should you clarify about a concert discovery feature for Spotify?,"Which music streaming competitors have concert features, and what are the exact technical specifications of their implementation?","What type of venue lighting and sound equipment do concert halls typically use, and how does this affect the listening experience?",Is this integrated into the existing Spotify app or a standalone product? Does Spotify handle ticket sales or link to third-party ticketing platforms?,"How many concert venues exist globally, and what is the average ticket price across all genres and regions worldwide?",C,Integration vs standalone determines the build scope. Ticket sales vs referral determines the business model. Both shape the entire product approach.
2,Junior,Spotify,Product Design,Design a feature to help users find live concerts for artists they listen to.,Users,Who is the primary user for a concert discovery feature?,Professional music critics and journalists who attend concerts for work and need a comprehensive database of every event in every city worldwide,Users who listen to Spotify exclusively on desktop at work and have never attended a live music event but might consider it someday,Active listeners who follow 10+ artists and attend 2-5 concerts per year — they have intent but struggle with discovery and planning across multiple ticketing platforms,Concert venue owners and promoters who want to advertise their events to Spotify users and need tools to manage ticket inventory and pricing,C,Active listeners with existing concert-going behavior have the highest conversion potential. They already want to attend — they just need discovery to be easier.
2,Junior,Spotify,Product Design,Design a feature to help users find live concerts for artists they listen to.,Solutions,What is the best approach for Spotify's concert feature MVP?,"Surface upcoming shows from artists the user follows, with location-based filtering and direct links to buy tickets on partner platforms like Ticketmaster or AXS","Create an AI that predicts which concerts the user would enjoy even if they don't follow the artist, based on deep analysis of their listening patterns","Build a complete end-to-end ticketing platform from scratch with seat selection, payment processing, ticket delivery, and refund management capabilities",Launch a virtual concert streaming service where artists perform live exclusively on Spotify and users pay per-view to watch from their devices at home,A,MVP should leverage existing infrastructure: Spotify already knows what artists users follow and can partner with ticketing platforms rather than building one. This is fast to ship and validates demand.
2,Junior,Spotify,Product Design,Design a feature to help users find live concerts for artists they listen to.,Metrics,How would you measure success for this concert discovery feature?,"Average star rating that users give to concerts after attending them, collected through an in-app survey sent the morning after each event","Number of times users share concert listings from Spotify to social media platforms like Instagram, Twitter, and Facebook stories","Concert card impression-to-click rate (discovery), click-to-ticket-purchase rate (conversion), and post-concert streaming lift for the artist (ecosystem value)","Total number of concerts listed on the Spotify platform across all cities and venues, regardless of whether users actually discover or click on them",C,Click-to-purchase rate measures direct feature impact. Streaming lift after concerts validates the hypothesis that live events drive deeper engagement with artists on the platform.
